image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2/skelorig.tif
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.01
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	4
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
4           1     133.533     405.438           0     19437.3           0
4           2     134.142     406.238           0     21491.7     387.642
4           3     134.659       407.1           0     16885.4     332.335
4           4     135.013     408.041           0     25818.1     992.289
4           5      135.37      408.98           0       15686           0
4           6     135.908     409.828           0     19585.3     4182.23
4           7     136.566     410.589           0     12076.9     2315.87
4           8      137.28     411.296           0     13708.2      2290.3
4           9     138.031     411.963           0     25493.1     3155.11
4          10     138.845     412.554           0     14504.3     2583.34
4          11     139.693     413.094           0     29233.2        2100
4          12     140.516     413.669           0     20235.1     2388.75
4          13     141.245     414.361           0       23773     1615.39
4          14     141.928     415.096           0     33328.5     2189.05
4          15     142.719     415.712           0     26161.1     2164.17
4          16     143.593     416.211           0     23545.2     4351.45
4          17     144.453     416.726           0     14577.8     2644.58
4          18     145.216     417.379           0     17290.1      2285.2
4          19     145.942     418.071           0     20426.9     4345.75
4          20     146.791     418.595           0     16553.2     1801.54
4          21      147.75     418.888           0     25920.5     2470.66
4          22     148.739     419.068           0     28476.1     2219.45
4          23     149.719     419.287           0     20725.3     630.718
4          24     150.675     419.598           0       13747     668.491
4          25     151.623     419.932           0       20738           0
4          26     152.578     420.248           0     12083.4           0
4          27     153.539     420.545           0     8400.35           0
4          28     154.509     420.809           0     14283.4           0
4          29     155.487     421.041           0     16005.6           0
4          30     156.455      421.31           0     10880.6           0
4          31     157.381     421.693           0     7742.57           0
4          32     158.256     422.188           0     12578.2           0
4          33     159.103      422.73           0     11701.1           0
4          34     159.932     423.298           0     12414.4           0
4          35     160.721     423.919           0     11153.1           0
4          36     161.467     424.594           0     10514.2           0
4          37     162.234     425.241           0     19065.1           0
4          38     163.097     425.745           0     16615.3           0
4          39     164.034     426.106           0       18225           0
4          40     164.971     426.469           0     10774.4           0
4          41     165.869     426.918           0     11288.3           0
4          42     166.765     427.373           0     6230.94           0
4          43      167.71     427.707           0     9736.02           0
4          44     168.697     427.887           0     11346.5           0
4          45     169.698     427.968           0     13438.5           0
4          46     170.703     428.013           0     15373.8      649.95
4          47     171.707     428.068           0       14484     1574.18
4          48     172.706     428.172           0       10217     1848.85
4          49     173.694     428.355           0      6471.5     1924.01
4          50     174.665     428.614           0     6369.23     1108.07
4          51     175.627     428.908           0      9200.7     1698.52
4          52     176.581     429.225           0     7447.03     1961.56
4          53     177.516     429.592           0     6275.04       912.8
4          54     178.419     430.033           0     12747.2     652.626
4          55     179.277     430.556           0     5846.81     1271.67
4          56     180.076     431.164           0      9868.6     2097.42
4          57     180.824     431.836           0     8891.89      4176.8
4          58     181.544     432.537           0     6219.86     3103.66
4          59     182.255     433.249           0     7668.22      2306.6
4          60     182.964     433.962           0     11135.3     4423.22
4          61     183.672     434.676           0     7042.91     4445.72
4          62     184.378     435.391           0     7147.99      3442.2
4          63     185.087     436.104           0     13240.1     1036.68
4          64      185.82     436.792           0     22745.3     2008.98
4          65     186.632     437.384           0     14848.3     4813.08
4          66     187.551     437.785           0     25848.8     1103.89
4          67     188.527     438.021           0     34243.6           0
4          68     189.508     438.239           0     23187.9           0
4          69     190.467     438.541           0     13620.4           0
4          70     191.413     438.883           0     20632.3           0
4          71     192.366     439.203           0       12025           0
4          72     193.317     439.528           0     6758.18           0
4          73     194.237     439.933           0     15246.4           0
4          74     195.113     440.427           0     6977.13     356.676
4          75     195.956     440.975           0     7734.94     974.111
4          76     196.779     441.553           0     819.487     691.314
#1
5           0     97.1108     133.732           0     48176.8           0
5           1     96.9981     132.739           0     47798.9           0
5           2     96.8859     131.745           0     32508.3           0
5           3     96.6319     130.778           0     27388.4           0
5           4     96.1959     129.879           0     35282.9           0
5           5      95.731     128.994           0     26921.9           0
5           6     95.2555     128.114           0     18669.7           0
5           7     94.6172     127.345           0       24206           0
5           8     93.8365     126.721           0     17269.2        4124
5           9      92.954     126.251           0     23160.9     6707.13
5          10     92.1042     125.725           0     24880.3     5484.35
5          11     91.3712     125.045           0     22009.4     4852.99
5          12     90.8043     124.221           0     27494.8     4299.58
5          13      90.364     123.324           0     9025.02     3997.45
5          14     89.9376      122.42           0     11298.6      4492.2
5          15      89.534     121.505           0     7211.42     5105.38
5          16     89.1887     120.567           0     13396.4     3502.07
5          17     88.8854     119.614           0     15383.8     1010.18
5          18     88.5715     118.665           0     9614.19           0
5          19     88.2538     117.717           0     11819.5           0
5          20     88.0585     116.737           0       16110           0
5          21     87.9911      115.74           0     15701.7           0
5          22     87.9829      114.74           0     16887.9           0
5          23     87.9881      113.74           0     18913.4           0
5          24     87.9885     112.741           0     15401.8           0
5          25     87.9837     111.741           0       12868           0
5          26     87.9857     110.741           0       16589           0
5          27     88.0253     109.742           0     21929.3           0
5          28     88.1628     108.752           0       15149           0
5          29     88.3972      107.78           0     8151.24           0
5          30     88.6805     106.822           0     9247.77           0
5          31      88.894     105.845           0     14128.2           0
5          32     89.1042     104.868           0     16250.8           0
5          33     89.4423     103.927           0     7374.77           0
5          34     89.9766     103.082           0     15828.9           0
5          35     90.6438     102.338           0     14961.6           0
5          36      91.349     101.629           0     15168.7     660.657
5          37     92.0574     100.924           0     19162.1     2933.88
5          38     92.7776      100.23           0     10238.2     3602.45
5          39     93.5443     99.5887           0     7586.43     3750.86
5          40     94.3852     99.0481           0       13870     2922.07
5          41     95.2839     98.6103           0     7092.35     1495.25
5          42     96.2279     98.2814           0     10533.8     591.137
5          43     97.2085     98.0867           0     17838.2     10.3198
5          44     98.2051     98.0086           0     21122.4           0
5          45     99.2047     97.9906           0     24221.7           0
5          46     100.204     97.9931           0     22717.4           0
5          47     101.204     97.9976           0     21716.6           0
5          48     102.204          98           0     21798.3           0
5          49     103.203     98.0005           0     17791.6           0
5          50     104.203     97.9991           0     18284.8           0
5          51     105.203     97.9951           0       17843     268.304
5          52     106.202     97.9891           0     18536.1     1213.98
5          53     107.202     97.9882           0     26423.2     1389.09
5          54     108.201     98.0214           0     31415.6      2225.5
5          55     109.192      98.156           0     21980.5     2395.34
5          56     110.164     98.3902           0     10402.8     1874.32
5          57     111.121     98.6778           0     6922.86     1838.81
5          58       112.1     98.8796           0     9417.95           0
5          59     113.085     99.0534           0     12123.3           0
5          60     114.049     99.3186           0       11246     199.625
5          61     114.978      99.687           0     12861.4     264.268
5          62     115.948     99.9284           0       13951     957.949
5          63     116.937     100.074           0     14459.8     5242.85
5          64     117.919     100.262           0     12511.2     1792.26
5          65     118.888     100.506           0     10541.2     898.419
5          66     119.883     100.611           0     20643.7           0
#1
6           0     122.522     37.3473           0     2663.63     1578.08
6           1     122.213     38.2924           0     12932.7     1345.26
6           2     121.906     39.2382           0     15023.6     1500.88
6           3      121.57     40.1739           0     7354.63     2073.87
6           4     121.169     41.0837           0     8122.45     954.197
6           5     120.761     41.9906           0     5969.31     85.0652
6           6     120.387      42.912           0      4841.4           0
6           7     120.067     43.8531           0     10545.7           0
6           8     119.761     44.7992           0     7787.22           0
6           9     119.449     45.7432           0     5321.06           0
6          10     119.163     46.6954           0     10745.7           0
6          11     118.857     47.6415           0     13478.9           0
6          12     118.485     48.5639           0     8734.62           0
6          13     118.047     49.4563           0     18451.1           0
6          14     117.521     50.2999           0       10704           0
6          15     116.916     51.0889           0     17661.6           0
6          16     116.313     51.8797           0     15009.3           0
6          17     115.791     52.7256           0       13024           0
6          18     115.357     53.6205           0     4328.49           0
6          19     114.944     54.5248           0     5805.85           0
6          20     114.546     55.4358           0     6049.63           0
6          21     114.189     56.3639           0     17289.7           0
6          22     113.872     57.3062           0     18063.7           0
6          23     113.565     58.2519           0     9004.14           0
6          24      113.26     59.1983           0     8665.27           0
6          25     113.088     60.1776           0     8348.47           0
6          26     113.004     61.1683           0     9793.81           0
6          27      112.89     62.1561           0     12293.9           0
6          28     112.651     63.1211           0      9253.1           0
6          29     112.331     64.0625           0     9668.06           0
6          30     112.116     65.0332           0     13961.6           0
6          31     112.009     66.0217           0     21348.5           0
6          32     111.982     67.0156           0     13900.9           0
6          33     111.982     68.0099           0     15237.8           0
6          34     111.983     69.0042           0     9361.23           0
6          35     111.982     69.9985           0     14146.4           0
