image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.02
maximum-foreground	255
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	10
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
2         191     286.449     379.241           0     29.0633     2.33976
2         192     286.464     378.239           0     27.3494     2.49106
2         193      286.46     377.236           0     26.2363     2.43572
2         194     286.451     376.234           0          26      2.4235
2         195     286.447     375.232           0     25.5752     2.34905
2         196     286.446     374.229           0     24.6755     2.27369
2         197      286.44     373.227           0     23.6673     1.91299
2         198     286.421     372.225           0     22.6464     1.42407
2         199     286.384     371.223           0     20.5325     1.11811
2         200     286.328     370.223           0     18.4452    0.870973
2         201     286.254     369.223           0     17.0254    0.660675
2         202     286.167     368.225           0     15.2824    0.648977
2         203      286.07     367.227           0     14.8756    0.588604
2         204     285.964      366.23           0     14.1494    0.759832
2         205     285.858     365.234           0     13.6061     1.53803
2         206     285.763     364.236           0     12.7065      2.7464
2         207     285.686     363.236           0     11.8479     4.37104
2         208     285.625     362.236           0     10.8604     6.09801
2         209     285.571     361.235           0     9.04109     8.19024
#1
3           0     38.9719     329.063           0           0           0
3           1     39.6824     328.346           0    0.446124           0
3           2     40.3897     327.627           0     2.05425           0
3           3     41.0858     326.896           0     5.70019   0.0780743
3           4     41.7613     326.146           0     12.6478    0.215627
3           5     42.4063      325.37           0      20.796    0.448307
3           6     43.0148     324.566           0     31.0814    0.837444
3           7     43.5897     323.736           0     39.3005     2.00586
3           8      44.151     322.898           0     48.5168     3.51038
3           9     44.7618     322.095           0      56.448     4.76509
3          10     45.4986     321.407           0      63.039     4.85271
3          11      46.392     320.944           0     66.7233     10.8878
3          12     47.3816     320.758           0     62.8506     28.5891
3          13     48.3901     320.752           0     58.7616     24.0199
3          14     49.3978     320.803           0     56.0267     14.7265
3          15     50.4065      320.83           0     58.4829     17.4404
3          16     51.4145     320.785           0      68.762     25.3824
3          17     52.4135     320.645           0     87.3752     27.2299
3          18     53.3983     320.426           0     114.836     30.1092
3          19     54.3792     320.189           0     147.996     45.2328
3          20     55.3734     320.018           0     177.921     72.4925
3          21     56.3804     319.961           0     192.243     80.1915
3          22     57.3894     319.969           0       188.2     64.9611
3          23     58.3975     319.928           0     156.351     41.3254
3          24     59.4004     319.817           0     104.993     18.3335
3          25     60.4008     319.685           0     64.1896     5.45825
